Identification number:,Registration date:,Section,Subsection,(Organisation) name,Legal status:,Website address:,Head office country,Head office address,Head office city,Head office post code,Head office post box,Head office phone,Belgium office address,Belgium office city,Belgium office post code,Belgium office post box,Belgium office phone,Person with legal responsibility,Position:,Person in charge of EU relations,Position:,Goals / remit,Level of interest,EU initiatives,Relevant communication,High-level groups,Consultative committees,Expert groups,Inter groups,Industry forums ,Number of persons involved:,Full time equivalent (FTE),Number of EP accredited persons,Persons accredited for access to European Parliament premises,Fields of interest,Membership,Member organisations,Financial year: Start Date,Financial year: End Date,Estimate of costs (absolute amount),Estimate of costs (as a range),Turnover (absolute amount),Turnover (as a range),Clients,Procurement:,Source,Grants:,Source
19747905832-33,12/05/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,MSLGROUP Brussels - Division of NICEWORK SA,registered Belgian SA,http://www.mslgroup.com,Belgium,"Square de Meeûs, 23",Brussels,1000,0,(+32)2 737 92 00,,,,,,Peter Steere,Board Director - CEO JKL,Leonardo Sforza,Managing Director,"MSLGROUP is a strategic communications and engagement network, advisor in all aspects of communication strategy: from PR to financial communications, from public affairs to reputation management, and from crisis communication to event management.  
 
The Brussels office of MSLGROUP specialises in EU policy and regulatory analysis, communication strategy, PR and media relations, stakeholders communication and outreach.","European, global, national","- digital policy 
- energy policy 
- health and consumer policies 
- financial services 
- trade and external relations","The team draft and share regular policy briefings and advise on EU-related policy developments.  
 
Support the organisation of seminars and events involving stakeholders groups and policy makers.",,,,,,4,2.25,2,"SEIGNOVERT Romain, SFORZA Leonardo","Economic and Financial Affairs, Audiovisual and Media, Trade, Competition, Consumer Affairs, Customs, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Justice and Fundamental Rights, Internal Market, Foreign and Security Policy and Defence, Research and Technology, External Relations, Public Health, Information Society, Climate Action, Communication",Member of the Centre for European Policy Studies (CEPS),,01/01/2015,01/12/2015,,400000-499999,,100000-499999,"PrismGroup, Qorvis, Länsförsäkringar, CNC Germany, Netopia, CAIT - Atos Worldline, Film-och TV-branschens Samarbetskommitté",,,,
29759015726-06,26/04/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,AVA & PARTNERS (-),SPRL,http://www.ava-partners.eu,Belgium,"Avenue Louise, 149",Bruxelles,1050,24,(+32)498513217,,,,,,Andrea van Arkel,Managing Partner,Andrea van Arkel,Managing Partner,"AVA & PARTNERS bietet Dienstleistungen im Bereich Public Affairs, Generierung von Fördermitteln, Begleitung bei Handelsschutzverfahren und strategische Kommunikation an. Auf der europäischen Ebene richtet sich das Angebot an Unternehmen (Multinationals/KMU), nationale/internationale Verbände, NGOs ebenso wie Regierungen.  
Durch Parnerfirmen erweitern wir unsere Unterstützug für Mandanten auf die nationale und internationale Ebene. Es werden u.a. die Bereiche Energie/erneuerbare Energien, Umwelt, Finanzdienstleistungen, Telekommunikation, Gesundheit, Fördermittel und Handelspolitik abgedeckt. Ebenso Themen die zum Bereich der Entwicklungs-, Sicherheits- und Aussenpolitik gehören.","European, global, national",Environmental and Energy Policy // ETS // Trade & Trade Defence policy // Circular economy // Smart cities //,,,,,,,2,1.5,1,VAN ARKEL Eva Andrea,"General and Institutional Affairs, Economic and Financial Affairs, Trade, Competition, Consumer Affairs, Development, Energy, Enterprise, Environment, Justice and Fundamental Rights, Internal Market, Foreign and Security Policy and Defence, Research and Technology, External Relations, Trans-European Networks, Food Safety, Information Society, Transport, Climate Action, Home Affairs",Partner in Europa und USA - hierzu verweisen wir auf unsere website unter Menupunkt 'wer wir sind'.,http://www.ava-partners.eu/partner.html,01/01/2015,01/12/2015,,50000-99999,,100000-499999,"RHI AG refractories, Altstoff Recycling Austria AG",,,,
72856225852-31,16/05/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Business Bridge Europe (BBE),sprl,http://www.b-bridge.eu,Belgium,"rue Belliard, 205 2ème étage",Bruxelles,1040,Boîte 2,(+322)2316525,,,,,,Joëlle Vanderauwera,Founding Partner,Joëlle Vanderauwera,Founding Partner,"Business Bridge Europe (BBE) is a multi-service consultancy with a high level of expertise and competence in monitoring, business intelligence and strategic communication advice. Our company has acquired comprehensive experience in designing communication campaigns and strategies, managing media relations and drawing up lobbying campaigns. 
 
BBE proposes a range of services in specific economic sectors in which it can offer a particular added-value: 
- Aeronautics, 
- Space, 
- International Trade, 
- Security and Defence, 
- Transport, 
- Energy, 
- Environment, 
- Information and Communication Technologies, 
- Financial services. 
 
Our consultants enjoy a wide array of educationnal backgrounds and professional experiences. The BBE team is composed of consultants from various countries who speak English, Dutch, French, German, Portuguese, Spanish, Italian and Bulgarian. The partners of Business Bridge Europe have been active for over thirty years in the institutional, professional representative and media-related milieu in Brussels. They have spent time in the EU institutions, newspapers specialised in EU matters and EU and International consultancies. 
 
For more information, please see our website: www.b-bridge.eu",European,"Energy Union, space, transport, aeronautics, animal welfare, veterinary products, gambling and betting legislative files. 
Financial regulation","Annual conferences on: 
EU Space Policy,  
Aeronautics  
Energy Union  
conferences under the high  patronage of the Presidents of the EU institutions. 
Meetings with various representatives of the EU institutions",,,,,,5,3.75,4,"FECHNER Timothée, PABIAN Marta , PAOLONI Marc, VANDERAUWERA Joëlle","General and Institutional Affairs, Economic and Financial Affairs, Agriculture and Rural Development, Audiovisual and Media, Budget, Trade, Competition, Development, Energy, Enterprise, Environment, Taxation, Internal Market, Foreign and Security Policy and Defence, Regional Policy, Research and Technology, External Relations, Trans-European Networks, Information Society, Sport, Transport, Communication",,,01/01/2015,01/12/2015,,100000-199999,,500000-999999,"Arianespace, Eumetsat, Thales Alenia Space, OHB, Telespazio, Finmeccanica, Eutelsat, SES, T-Systems, Inmarsat, European Space Agency, Airbus Defence and Space, Indra, AeroSpace and Defence, GMV, EREA, Rolls-Royce, GSA, Thales Services, System G, Eurospace, KIC InnoEnergy, European Pari Mutuel Association, Réseau de Transport et d'Éléctricité de France, Le Trot, France Galop, Airbus Aeronautics",,,,
47831085867-54,18/05/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,peopol,GmbH,,Germany,"Am Wildgatter, 28",Hildesheim,31139,,(+49)51217584940,"14b, rue de la Science",Bruxelles,1040,,(+32)28803711,Alexander Schelhase,Managing Director,Alexander Schelhase,Managing Director,peopol represents corporate clients to the European institutions.,"European, national","Cybersecurity 
Industry 4.0 
Internet of Things 
EU Energy Policy 
EU Climate Policy 
HORIZON 2020 
R&D Frame 
TTIP 
ESH",,GEAR2030,,,,,1,1,1,SCHELHASE Alexander,"Economic and Financial Affairs, Audiovisual and Media, Budget, Trade, Competition, Consumer Affairs, Culture, Customs, Education, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Youth, Justice and Fundamental Rights, Internal Market, Foreign and Security Policy and Defence, Regional Policy, Research and Technology, Trans-European Networks, Public Health, Food Safety, Information Society, Transport, Climate Action, Home Affairs",http://www.hannover.ihk.de,,01/01/2015,01/12/2015,,50000-99999,,100000-499999,Infineon Technologies AG,,,,
35373645548-24,28/03/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Ecofys Netherlands B.V. (Ecofys),Private Limited Liability Company,http://ecofys.com/,Netherlands,"Kanaalweg 15-G, 30161191",Utrecht,3503 RK,8408,(+31)306623300,"23, Rue de la Science Pericles Building",Brussels,1040,,(+32)471605086,Thijs Aarten,Managing Director,Ria Oonk,Client Director,"Ecofys has a clear mission: a sustainable energy supply for everyone. This is the goal that everyone in our company believes in and strives for. In a company that is a leader in renewable energy and energy efficiency, knowledge and innovation are key factors in turning the ideas of today into the viable realities of tomorrow. 
 
Established in 1984, Ecofys specialises in energy saving and renewable energy solutions. We offer research and consultancy services as well as product development. 
 
Over the years Ecofys has conducted extensive research and completed projects for many energy companies, housing corporations, building companies, international and local authorities, and energy consumers around the world. With more than 250 employees, we're one of the largest consultancy firms in sustainable energy and climate policy. 
 
Ecofys offers a wide range of high quality services, based on our extensive knowledge of renewable energy and energy saving solutions. Areas of expertise include solar energy, wind energy, biomass, hydrogen technology, energy supply and climate policies. Our experts are organised around different markets. Technical, financial, legal and planning disciplines are combined to develop balanced and cost-effective solutions. 
 
Ecofys is always at the forefront of climate and energy market developments.","European, global, national","Energy policy, climate policy, industry policy, research and innovation, transport and development coöperation.","Energy, climate and industry policy.",,,,,,30,8.25,,,"Economic and Financial Affairs, Trade, Consumer Affairs, Development, Energy, Enterprise, Environment, Foreign and Security Policy and Defence, Regional Policy, Research and Technology, Trans-European Networks, Transport, Climate Action",,,01/01/2015,01/12/2015,,900000-999999,2240000,,"European Commission DG Clima, European Commission DG for Energy",2250000,"DG Climate Action, DG Energy, DG Environment, DG Transport",0,*
85606455727-29,26/04/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Dr2 Consultants,bvba,http://www.dr2consultants.eu,Belgium,"Trierstraat, 59-61",Brussels,B-1040,,(+32)25123722,,,,,,Audrey Keukens,Director,Marlene ten Ham,Managing Partner,"Dr2 Consultants is a Brussels-based company with headquarters in The Hague (Dröge & van Drimmelen) specialized in public affairs and corporate communications. We have been working for over sixteen years of consulting assignments for (semi) governments, branch organizations, public institutions and business. In the field of public affairs we hold a strong record in representing the interests of companies and organizations towards governmental bodies and political parties both in the European Union and in The Netherlands. We assist companies, interest groups and governmental organizations in order to strengthen their position in public issues. In corporate communication we focus on developing and implementing strategies, especially on social and public communication. Our assignment portfolio is very diverse. Over the years we have gained extensive knowledge and experience in various fields including ICT, maritime issues, healthcare, energy, finance, insurance and human rights.","European, global, national, regional/local","E-commerce policies 
Digital strategy 
Maritime transport policies 
Circular economy 
Packaging 
Internal market 
Insurance and financial issues",,,,,,,8,7.25,5,"CASSETTI Luca, FELIX Ludivine, LAHIRI Sekhar, REUTERS Manon, TEN HAM Maria Lene","General and Institutional Affairs, Economic and Financial Affairs, Audiovisual and Media, Trade, Competition, Consumer Affairs, Energy, Enterprise, Environment, Taxation, Internal Market, Research and Technology, External Relations, Information Society, Transport, Home Affairs, Financial Stability, Financial Services and Capital Markets Union","VOKA Halle-Vilvoorde 
Dutch Network Brussels 
EPACA 
BVPA",,01/01/2015,01/12/2015,,300000-399999,,100000-499999,"Global Human Rights Defence, SIDN, Regional Maritime Pilots, Leiden University, Dutch Pilots' Corporation, Faber Halbertsma Group, Achmea, Koopman international, FEFCO, E-Commerce Europe",,,,
56191615795-56,06/05/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Rupprecht Consult - Forschung & Beratung GmbH (Rupprecht),private limited company (independent),http://www.rupprecht-consult.eu,Germany,"Clever Strasse, 13-15",Cologne (Köln),50668,,(+49)221 60 60 55 0,,,,,,Siegfried Rupprecht,Managing Director,Siegfried Rupprecht,Managing Director,"Rupprecht Consult specialises in providing integrated solutions to key issues of sustainable development: mobility, urban and regional development, environment, social change, technology implementation, planning and governance. Services include: 
- evaluation of projects and programmes,  
- urban strategy and policy development,  
- 'best practice' and market studies,  
- dissemination and capacity building, and 
- independent moderation and monitoring.  
Rupprecht Consult has been involved in many projects on urban transport, planning and research cooperation all over Europe, and internationally.",European,"•    European Commission 2011 White Paper “Roadmap to a Single European Transport Area”  
•    European Commission Action Plan on Urban Mobility 
•    European Commission Urban Mobility Package: Together towards competitive and resource efficient urban mobility 
•    European Commission Communication: A Concept for Sustainable Urban Mobility Plans",,,,,,,16,14.5,,,"Economic and Financial Affairs, Audiovisual and Media, Consumer Affairs, Education, Enlargement, Employment and Social Affairs, Energy, Environment, Regional Policy, Research and Technology, External Relations, Trans-European Networks, Public Health, Information Society, Transport","UITP 
DeGeVal",,01/01/2015,01/12/2015,1310000,,1320000,,Executive Agency for Small and Medium Enterprises,274000,Cities/Organizations,1046000,European Commission
88317675703-01,20/04/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,EUROTRAN Conseil,SARL,http://www.eurotran.eu,France,"avenue du Neuhof, 20",Strasbourg,67100,,(+33)665216993,,,,,,Dan WOLFF,Gérant,Dan Wolff,Gérant,"Conseil en affaires européennes, spécialisé dans les transports","European, national, regional/local","4e Paquet Ferroviaire 
Corridors de fret ferroviaire 
Suites Livre Blanc Transport 
Services portuaires 
Droit des passagers dans tous les modes de transport 
Financement des infrastructures de transport 
multimodalité et ticketing 
Mobilité urbaine 
Accessibilité 
Digitalisation des transports 
Décarbonisation des transports",Conférences,,,,Investissements de long terme,,3,2.25,3,"OBADIA  Gaëlle, ROUX Laure, WOLFF Dan","Trade, Competition, Customs, Energy, Environment, Taxation, Internal Market, Regional Policy, Research and Technology, Trans-European Networks, Information Society, Transport, Climate Action",Groupe des Nouveaux Lobbyistes,,01/01/2015,01/12/2015,,100000-199999,,100000-499999,"ERFA, EIM, ARC, UPF, Transdev, Eurotunnel, cDN",,,,
53951055749-11,28/04/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,National Non-Food Crops Centre (NNFCC),Company Limited by Guarantee,http://www.nnfcc.co.uk,United Kingdom,"Biocentre, York Science Park, 0 Innovation Way",York,YO10 5DG,,(+44190)4435182,,,,,,Jeremy Tomkinson,Chief Executive Officer,David Turley,Executive Manager,"Facilitating the development and deployment of biobased fuels, energy, chemicals and materials. 
 
Provision of independent consultancy services to government and industry to provide the technical knowledge, market awareness and evidence in support of strategic policy developments or investment in these sectors. 
 
Monitoring of industry development and deployment in these sectors 
 
Assuring sustainable delivery, in line with policy and regulatory requirements","European, national, regional/local","Renewable Energy Directive 
Renewable Transport Fuel Directive 
Bioeconomy Roadmap","Partner in EU-funded projects AGROCYCLE (H2020), SUPABIO (H2020), BIOBASE for SME (Interreg)",,,"Registered with H2020 as Technical Reviewer (Bioeconomy and Bioenergy) 
BESTF technical Reviewer",,,3,2.25,,,"Energy, Environment, Climate Action",European Renewable Raw Materials Association (ERRMA) (NNFCC currently serves as President),,01/04/2014,01/03/2015,,100000-199999,,100000-499999,,0,not applicable,100000,EU project income
154877720642-15,11/02/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Omni Micro Systems / Omni Med Solutions UG (OMS),GmbH,http://www.omnimicro.com,Germany,Valentinskamp 18 #113,Hamburg,20354,,(+49)15757104013,,,,,,Rachelle Blake,CEO/Managing Director,Rachelle Blake,CEO/Managing Director,"Omni Micro / Omni Med Solutions UG utilizes our subject matter expertise in clinical healthcare, information technology and communication to improve the quality of health, contribute to the growth of eHealth, and expand health informatics as a global discipline.  
 
We work daily to achieve the following:  
- to develop a strong and competent global healthcare technology workforce  
- to enhance the value and benefits of health information systems implementations  
- to enable healthcare providers to meaningfully use technology as they practice medicine  
- to work with providers to improve clinical workflows before, during and after technology is integrated  
- to promote best practices in the electronic healthcare industry  
- to provide empowerment of patients in their healthcare  
- to improve clinical quality and patient health, especially in the ageing and chronically ill  
- to partner with a variety of technology vendors  
- to develop new eHealth technologies  
- and to facilitate interoperability and interconnectivity in the delivery of healthcare services 
- to positively impact the practice and delivery of healthcare through technology from a clinician's perspective",global,EU-US Memorandum of Understanding; EU-US Workforce Development Initiatives; EU-US Interoperability Initiatives; Horizon 2020; Digital Connect; Trillium Bridge; CAMEI; European eCompetency Framework; UKCHIP,Work under the EU-US Memorandum of Understanding and Roadmap (2010 to current); co-developer and maintainer of HITCOMP Tool and Repository; eHealth week participant and speaker (four sessions); European Telemedicine Conference participant and speaker; Horizon 2020 proposal coordinator and Fit for Health participant 2015/2016,"EU-US MoU/Roadmap Listening Session participant and speaker, consultant",,,,,2,0.75,,,"Competition, Development, Employment and Social Affairs, Enterprise, Regional Policy, Research and Technology, Trans-European Networks, Public Health, Information Society, Communication","HIMSS Europe 
HIMSS TIGER International Committee 
Appointed Member, Global Health Workforce Council 
AHIMA 
IFHIMA 
AMIA 
United States S&I Framework Project Manager and Team Lead 
Coordinator, EU-US eHealth Workforce Consortium 
Member, Integrating the Healthcare Enterprise (IHE) - Europe 
Member, European Connected Health Alliance 
Member, EAI – European Alliance for Innovation 
Board Member/Activities Chair, American Women’s Club of Hamburg (AWCH)",,,,0,,0,,,,,,
52963736003-64,09/06/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,JS Strategic Advisory Services (JS SAS),SCS,,Belgium,"souveraine, 108",Brussels,1050,,(+0032)495585213,,,,,,Julien Schiettecatte,Director,schiettecatte julien,Director,"JS strategic advisory services provides political, regulatory and security risks advices.",global,"Transparency in the extractive sector, non financial reporting, MIFID II, CETA, Conflict minerals, Energy regulation, State aids, Trade issues (anti dumping ; trade negotiations)",,,,,,,1,1,1,SCHIETTECATTE Julien Joel Paul,"Trade, Competition, Development, Energy, Enterprise, Environment, Internal Market, Foreign and Security Policy and Defence, Research and Technology, External Relations, Information Society",,,01/01/2014,01/01/2015,,25000-49999,,100000-499999,ASG,,,,
05308295838-47,12/05/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Rowan Public Affairs (RPA),Limited Company in the United Kingdom,http://www.rowanpublicaffairs.com,United Kingdom,27 Church Road Penponds,Camborne,TR14 0QE,,(+44)7979 757484,,,,,,Craig Carey-Clinch,Managing Director,Craig Carey-Clinch,Managing Director,"Rowan Public Affairs (RPA) is a small specialised public policy and communications consultancy which focuses on policy issues in niche sectors. Based in London and the South West of England and with international connections, the RPA team are specialists in policy development, drawing upon long experience gained through working with transport organisations, industry, trade associations, campaign groups, Parliament, central government, local authorities, road safety organisations, research groups and other related bodies","European, global, national, regional/local","Transport Policy 
Road Safety",,,,,,,2,0.5,,,"General and Institutional Affairs, Economic and Financial Affairs, Humanitarian Aid, Trade, Competition, Consumer Affairs, Enterprise, Environment, Taxation, Youth, Internal Market, Trans-European Networks, Sport, Transport","Motor Cycle Industry Association (UK) 
ACEM (Brussels) 
Chartered Institute of Public Relations",,01/04/2014,01/04/2015,,10000-24999,,0-99999,"Motor Cycle Industry Association, Auto Cycle Union, Amateur Motor Cycle Association",,,,
21877126545-33,02/09/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,pantarhei advisors europe,GmbH,http://pantarhei-europe.com,Austria,Lugeck 7,Wien,1010,,(+431)88656350,Rue de Pascale 32,Brüssel,1040,,(+32)22350850,Gilbert Rukschcio,Managing Partner,Irina Michalowitz,Managing Partner,"Beratung von Unternehmen und Verbänden in den Bereichen europäische Politik, Interessensvertretung und Kommunikation.  
 
Beobachtung und Monitoring relevanter politischer Entwicklungen auf EU-Ebene und Beratung beim Stakeholderdialog unserer Klienten.","European, national","Europäischer Post- und Paketmarkt 
Digitaler Binnenmarkt 
Energie Union 
Gesundheitspolitik 
Klima- und Energiepolitik, ETS 
Re-Industrialisierung",,,,,,,4,3.5,3,"RUKSCHCIO Gilbert, SCHOEGL Anton, TENGLEROVA Jana","General and Institutional Affairs, Economic and Financial Affairs, Agriculture and Rural Development, Humanitarian Aid, Audiovisual and Media, Budget, Trade, Competition, Consumer Affairs, Culture, Development, Customs, Education, Enlargement, Employment and Social Affairs, Energy, Enterprise, Environment, Taxation, Youth, Justice and Fundamental Rights, Internal Market, Fisheries and Aquaculture, Foreign and Security Policy and Defence, Regional Policy, Research and Technology, External Relations, Trans-European Networks, Public Health, Food Safety, Information Society, Sport, Transport, Climate Action, Home Affairs, Communication","OPAV 
WKO",,01/01/2015,01/12/2015,,200000-299999,,500000-999999,"Philipp Morris Austria GmbH, AMSC Austria Gmbh, FV Steine-Keramik, Österreichische Post AG, kohlpharma GmbH, VAD e.V., EVN AG",,,,
08672616611-18,08/09/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Llanbury Consulting Limited (LLC),Private Limited Company,http://www.llanbury.co.uk,United Kingdom,"Highfield Lane, 124",SOUTHAMPTON,SO17 1NP,,(+44)23380528,,,,,,Andrew Rose,Director,Andrew Rose,Principal Consultant,The understanding and measurement of Risk.,global,Aviation Safety Reporting legislation,,,,,,,1,0.25,,,Transport,,,01/05/2014,01/05/2015,,0-9999,,0-99999,,,,,
84063994168-23,13/09/2010,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Point Public Affairs (PPA),SRL,http://www.pointpa.ro,Romania,"Ienachita Vacarescu, 22B",Bucuresti,040157,,(+4021)3371424,,,,,,Ileana Neamtu,Executive Partner,Laura Florea,Managing Partner,"Point Public Affairs was established at the beginning of 2008 as a fully integrated public affairs and communication agency by the most experienced public affairs team of experts in Romania, who have been directly involved in lobbying, public affairs, strategic communication consultancy and public sector since 1995.","European, national, regional/local",Directive 2015/1535,,,,,,,1,0.25,,,"Economic and Financial Affairs, Audiovisual and Media, Competition, Consumer Affairs, Employment and Social Affairs, Energy, Environment, Taxation, Internal Market, Research and Technology, Public Health, Food Safety, Information Society, Climate Action, Financial Stability, Financial Services and Capital Markets Union","AmCham Romania 
Asociatia Registrul Roman de Lobby 
SEAP",,01/01/2014,01/12/2014,,0-9999,,0-99999,ARIPAD,,,,
18083556597-38,07/09/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Cullen International (CI),SA,http://www.cullen-international.com,Belgium,Clos Lucien Outers 11-21/1,Brussels,1160,,(+32)27387200,,,,,,Valérie  Willems,Managing Director,Philippe Defraigne,Director,"Cullen International tracks, reports and benchmarks developments in telecommunications, media, post and digital economy regulation across Europe, in Latin America, the Middle East and North Africa.                                                   
 
It provides monitoring services, neutral and independent analysis, benchmarking of national regulatory situations and practices, research tailored to individual needs and training programmes.                                                                     
Clients include over one hundred key industry players and public organisations spanning the whole communications industry.   
 
Cullen International does not engage in lobbying activities, nor does it represent the views of any of its clients.",global,"-Digital Single Market strategy 
-Review of the EU regulatory framework for electronic communications 
-Review of the ePrivacy Directive 
-Proposal on the use of the 470-790 MHz band 
-Draft Regulation on a Telecoms Single Market  
-Draft Directive on Network and Information Security 
-Forthcoming proposals on copyright reform, review of the Audiovisual Media Services (AVSM)",,,,,,,10,6.5,1,HUERTA BRAVO Javier,"General and Institutional Affairs, Audiovisual and Media, Competition, Consumer Affairs, Culture, Justice and Fundamental Rights, Internal Market, Information Society, Home Affairs",Not applicable.,,01/01/2014,01/12/2014,,0-9999,10000,,Council of Europe,10000,"Council of Europe, Study",,
43935866630-61,09/09/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Baines Simmons Ltd (BSL),Limited company,http://www.bainessimmons.com,United Kingdom,Aviation Safety Centre Bldg A5 Fairoaks Airport,Chobham,GU24 8HX,,(+44)1276855412,,,,,,Robert Simmons,Director,Robert Simmons,Director,"World Class Aviation Safety Consultants 
Changing Cultures - Reducing Risk - Driving Efficiencies 
 
We are change catalysts in safety management, regulatory issues and business efficiency.  Helping organisations achieve high performance in a highly regulated sector. 
 
Our consultants use their unrivalled experience and expertise to bring fresh insights, innovative approaches and new skills that result in sustainable improvements in response to the ever-increasing complexity of aviation safety. 
 
Baines Simmons is a trusted partner to more than 400 leading aviation organisations in 60 countries. 
We have trained over 120,000 professionals and worked with 40 National Regulatory Authorities.",global,"European Aviation Safety regulations and initiatives, as promulgated by the European Aviation Safety Agency (EASA). 
 
Specific regulations being tracked; 
 
Regulation (EC) No 216/2008 of 20/02/2008 
Regulation (EC) No 261/2004 of 11 February 2004",,,,,,,1,0.25,,,Transport,"Member of the International Federation of Airworthiness (IFA). 
 
Member of the UK Flight Safety Committee. 
Member of the Royal Aeronautical Society",,01/01/2015,01/01/2016,,10000-24999,,0-99999,,25000,European Defence Agency,0,none
07592996450-53,19/08/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Strauss&Partners (S&P),SPRL,http://www.strausspartners.eu/SitePages/Home.aspx,Belgium,"Chemin des Coquelicots, 3",Linkebeek,B-1630,,(+32)472635092,,,,,,Roland STRAUSS,Managing Partner,Roland STRAUSS,Managing Partner,"Provide consultancy services in the areas of Public Affairs, Technology Management, European Funds, Communication and Operation Support to our client's organisations.",European,"Horizon 2020, Structural funds, EFSI, Cohesion funds,",,,,,,,3,3,,,"General and Institutional Affairs, Economic and Financial Affairs, Agriculture and Rural Development, Audiovisual and Media, Budget, Trade, Competition, Consumer Affairs, Culture, Development, Education, Employment and Social Affairs, Energy, Enterprise, Environment, Justice and Fundamental Rights, Internal Market, Regional Policy, Research and Technology, External Relations, Trans-European Networks, Public Health, Food Safety, Information Society, Transport, Climate Action, Home Affairs, Communication",Managing Knowledge4Innovation asbl,,01/01/2014,01/12/2014,100000,,100000,,,,,,
22765976559-46,03/09/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Avanssa (AVA),Private limited company,http://www.avanssa.com/,Portugal,"Casa Nur, S/N Sitio das Pereiras de Quarteira",Quarteira,8125-024,,(+351)917209267,,,,,,Nuno Aghdassi,General Manager,Nuno Aghdassi,General Manager,"Aviation safety promotion. Predictive, proactive and also reactive prevention of aviation incidents and accidents through investigation and research.","European, global, national","Aviation safety promotion. Predictive, proactive and also reactive prevention of aviation incidents and accidents through investigation and research.",,,,,,,1,0.25,,,Transport,,,01/01/2015,01/12/2015,,0-9999,,0-99999,European Commission,,,,
35467643719-92,09/06/2010,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,ESL & NETWORK EUROPEAN AFFAIRS SA (ESL EA),Société Anonyme,http://www.eslnetwork.com/europeanaffairs/,Belgium,"rue d'Idalie, 11-13",Bruxelles,1050,,(+32)2 736 58 00,,,,,,Alexandre Medvedowsky,Administrateur délégué,Alexandre Medvedowsky,Administrateur délégué,"ESL & NETWORK EUROPEAN AFFAIRS SA gathers competences in areas where the European Institutions have a strong power. It masters the EU decision making in the ordinary and special procedures and comitology and serves its client in the drafting, adoption and implemention of legislation, based on proven methodologies. Services provided to clients include analysis and preparation work, assistance, monitoring, business intelligence, strategy definition, networking, representation, alliance building, communication, and strategy and lobbying action plans. 
 
ESL & NETWORK EUROPEAN AFFAIRS SA rassemble des compétences dans les domaines ou l’Union européenne exerce une compétence forte. Sa maitrise des processus de décision, procédure spéciale et ordinaire ou comitologie, sert ses clients dans les phases d’élaboration, d’adoption et d’exécution des législations. Les services offerts, basés sur des méthodologies éprouvées, comprennent: travaux d’analyse et de préparation, assistance, veille,intelligence économique, mise en réseau, représentation, formation d’alliance, communication, et l'élaboration de stratégie déclinée en plan d’actions opérationnel.","European, global","Transport, Stratégie du Danube",,,,,,,4,2,3,"HUCK Emmanuelle, NILSSON Mikaela Edith, SLATER Natasha Helen","General and Institutional Affairs, Economic and Financial Affairs, Agriculture and Rural Development, Audiovisual and Media, Trade, Competition, Consumer Affairs, Culture, Development, Customs, Education, Enlargement, Energy, Enterprise, Environment, Taxation, Youth, Justice and Fundamental Rights, Internal Market, Fisheries and Aquaculture, Foreign and Security Policy and Defence, Regional Policy, Research and Technology, External Relations, Trans-European Networks, Public Health, Food Safety, Information Society, Sport, Transport, Climate Action, Communication",,,01/01/2014,01/12/2014,,10000-24999,,100000-499999,"HRA, Travelport",,,,
72770716604-78,07/09/2011,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,ARCHIMEDE CONSULTANCY SERVICES,SC,,Belgium,"RUE DE LOMBARDIE, 54",BRUSSELS,1060,,(+02)213 13 93,,,,,,RICHARD STEEL,MANAGER,RICHARD STEEL,MANAGER,Archimede has been monitoring the activities of the European Parliament (only) since 1989. We seek to inform clients on the passage of legislation and reports from committee to plenary and to report back on key developments inside the EP. We do not seek to lobby or influence decision makers on behalf of our clients and our remit is solely to pass on information.,"European, global, national","All files dealing with energy and climate policy, public health and the environment.",,,,,,,2,1.25,1,STEEL Richard,"General and Institutional Affairs, Agriculture and Rural Development, Energy, Environment, Public Health, Food Safety, Transport, Climate Action",,,01/01/2014,01/12/2014,,0-9999,,0-99999,"Fediol, FoodDrinkEurope, Interel",,,,
